id,name,codice_ipa,seed_domain,claimed_domain,reject_reason,old_mx,old_provider,old_reason
IT-C14-cip_a,Ordine delle Professioni Infermieristiche di Gorizia,cip_a,opigorizia.it,opi-go.it,unrelated,opigo-it0i.mail.protection.outlook.com,microsoft,MX record (opigo-it0i.mail.protection.outlook.com) matches Microsoft
IT-C14-citsr,Ordine Professionale Interprovinciale TSRM PSTRP delle Province di Vercelli Biella,citsr,ordinevercellibiella.org,tsrm.org,unrelated,mx.tsrm.org,aruba,MX (mx.tsrm.org) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
IT-C14-cmsl,Collegio Maestri di Sci del Lazio,cmsl,maestriscilazio.it,comune.roma.it,unrelated,comune-roma-it.mail.protection.outlook.com,microsoft,MX record (comune-roma-it.mail.protection.outlook.com) matches Microsoft
IT-C14-cnav,Consiglio Notarile Avellino,cnav,consiglionotarilediavellino.com,notariato.it,pec_provider:notariato.it,mail.notariato.it,independent,"MX (mail.notariato.it, mail2.notariato.it) is self-hosted"
IT-C14-cnbl,Consiglio Notarile di Belluno,cnbl,consiglionotarilebelluno.it,notariato.it,pec_provider:notariato.it,mail.notariato.it,independent,"MX (mail.notariato.it, mail2.notariato.it) is self-hosted"
IT-C14-cnddrfr,Consiglio Notarile Dei Distretti Riuniti di Forli' e Rimini,cnddrfr,webrun.notariato.it,notariato.it,pec_provider:notariato.it,mail.notariato.it,independent,"MX (mail.notariato.it, mail2.notariato.it) is self-hosted"
IT-C14-cnddrpt,Consiglio Notarile Dei Distretti Riuniti di Palermo e Termini Imerese,cnddrpt,consiglionotarilepalermo.it,comune.palermo.it,unrelated,alt1.aspmx.l.google.com,google,"MX record (alt1.aspmx.l.google.com, alt2.aspmx.l.google.com) matches Google"
IT-C14-cnddrspm,Consiglio Notarile Dei Distretti Riuniti di La Spezia e Massa,cnddrspm,webrun.notariato.it,comune.laspezia.it,unrelated,mail.comune.laspezia.it,local-isp,MX (mail.comune.laspezia.it) hosted on Local ISP (Fastweb (IT))
IT-C14-cndr,Consiglio Notarile Distrettuale di Rovigo,cndr,consiglionotarilerovigo.weebly.com,comune.rovigo.it,unrelated,esvacloud1.archimedia.it,aruba,"MX (esvacloud1.archimedia.it, esvacloud2.archimedia.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)"
IT-C14-cnlat,Consiglio Notarile di Latina,cnlat,consiglionotarilelatina.it,comune.latina.it,unrelated,smtp-in.panservice.it,local-isp,MX (smtp-in.panservice.it) hosted on Local ISP (Panservice (IT))
IT-C14-coenna,Collegio Ostetrici Enna,coenna,pec.collegiostetricienna.it,gmail.com,unrelated,alt1.gmail-smtp-in.l.google.com,google,"MX record (alt1.gmail-smtp-in.l.google.com, alt2.gmail-smtp-in.l.google.com) matches Google"
IT-C14-coost_ri,Ordine della Professione di Ostetrica della Provincia di Rieti,coost_ri,ordineostetricherieti.org,comune.rieti.it,unrelated,mx.comune.rieti.it,aruba,MX (mx.comune.rieti.it) on AS31034 (Aruba.it (IT)) -> aruba (ASN-based override)
